"Grouping Variable";"CAAR Type";"CAAR Value";"Precision Weighted CAAR Value";ABHAR;"pos:neg CAR";"Number of CARs considered";"Patell Z";"Csect T";"Generalized Sign Z";"StdCSect Z";"Rank Z";"Generalized Rank T";"Adjusted Patell Z";"Adjusted StdCSect Z";"Generalized Rank T";"Skewness Corrected T";"ABHAR Csect T";"ABHAR Skewness Corrected T"
"VW Group";"(-2, 2)";-0.0305;-0.0293;-0.0301;0:3;3;-2.2769;-3.5563;-1.5604;-4.1399;-1.8221;-2.2949;-1.8114;-3.3958;-2.8048;-1.3731;-3.6116;-1.3426
Other;"(-2, 2)";-0.0383;-0.0387;-0.0373;0:2;2;-3.5933;-10.7746;-1.3807;-4.6636;-2.2022;-1.9215;-2.823;-1.4451;-2.4007;;-11.0899;
